 Program: FIND Thu Jul 21 12:40:42 2022

 Threshold above background:   50.0
 Approximate FWHM:      3.50000
 Sharpness Limits: Low  0.20  High  1.00
 Roundness Limits: Low -1.00  High  1.00

 No of sources above threshold  5748
 No. of sources rejected by SHARPNESS criteria     439
 No. of sources rejected by ROUNDNESS criteria     760
 No. of sources rejected by CENTROID  criteria       7

             STAR       X       Y     FLUX     SHARP    ROUND
              404  661.10  104.82   2772.6     0.43     0.09
              405  267.05  104.87     50.2     0.48     0.88
              406  312.84  105.61    286.9     0.53     0.11
              407  414.79  105.89    201.6     0.46     0.10
              408  428.69  105.69     54.4     0.40     0.40
              409  565.52  105.76    607.8     0.44     0.04
              410  630.01  105.19     57.7     0.82    -0.13
              411  745.07  105.55     86.4     0.33     0.46
              412  824.99  105.69   2395.7     0.43     0.15
              413  909.96  105.55    103.1     0.44     0.48
              414  248.96  106.26     74.1     0.39     0.13
              415  452.44  106.23    123.3     0.49     0.17
              416  627.37  107.31     96.3     0.58     0.37
              417   96.13  108.29     56.0     0.43     0.11
              418  607.23  107.91     55.2     0.34     0.08
              419  654.69  108.07    122.4     0.47    -0.25
              420  723.98  108.10     90.8     0.38    -0.31
              421  861.09  108.75    386.2     0.43     0.06
              422  896.14  109.23    475.7     0.40     0.08
              423  972.06  109.22     96.8     0.40     0.04
              424  371.60  110.42     64.7     0.31    -0.10
              425  476.95  109.81     70.8     0.39     0.31
              426  751.53  109.99     74.1     0.36    -0.49
              427  190.24  110.84     74.4     0.46     0.22
              428  314.63  110.77    109.9     0.46    -0.47
              429  888.24  111.20     90.9     0.55     0.43
              430  948.78  111.40     92.8     0.39     0.04
              431   75.59  111.60    161.3     0.42     0.06
              432  169.87  111.66     81.9     0.45    -0.30
              433  395.86  111.66    102.1     0.46    -0.55
              434  683.95  111.67    108.4     0.51    -0.36
              435  689.93  111.15     64.8     0.56     0.75
              436  794.04  112.00    133.9     0.36     0.04
              437   56.59  112.86     97.2     0.35     0.22
              438  595.94  113.12     90.0     0.48     0.07
              439  675.97  113.13    138.7     0.45     0.13
              440  927.82  113.20    133.4     0.36    -0.22
              441  147.38  113.92     82.5     0.46    -0.26
              442  383.80  113.68     96.5     0.43     0.14
              443  465.17  113.89     53.6     0.47    -0.61
              444  574.01  113.57    414.2     0.43     0.23
              445  747.20  114.01     91.1     0.46     0.10
              446  753.67  113.72     54.3     0.44    -0.07
              447  951.77  113.47     58.4     0.50    -0.31
              448  422.87  114.52    164.2     0.46     0.13
              449  739.90  114.57    106.2     0.42     0.35
