xcentroid	ycentroid	sharpness	roundness1	roundness2	npix	sky	peak	flux	mag
951.14	77.41	0.45	-0.24	0.04	25.00	0.00	437.41	6.73	-2.07
54.58	77.95	0.39	-0.82	0.13	25.00	0.00	111.35	1.21	-0.21
146.53	79.49	0.38	0.16	0.20	25.00	0.00	289.68	3.92	-1.48
573.90	78.86	0.44	0.39	0.09	25.00	0.00	5437.62	87.35	-4.85
969.74	78.71	0.43	-0.00	0.08	25.00	0.00	190.60	2.73	-1.09
93.69	79.92	0.43	0.11	-0.04	25.00	0.00	632.07	8.67	-2.34
87.60	81.50	0.36	0.62	-0.31	25.00	0.00	133.47	1.19	-0.19
411.87	80.88	0.39	0.23	-0.85	25.00	0.00	108.50	1.40	-0.37
932.98	80.29	0.41	-0.51	0.11	25.00	0.00	97.86	1.54	-0.47
262.97	81.61	0.56	0.40	-0.11	25.00	0.00	171.97	2.05	-0.78
877.52	81.83	0.41	-0.38	-0.10	25.00	0.00	113.54	1.75	-0.60
941.54	82.30	0.39	-0.32	-0.08	25.00	0.00	279.72	4.05	-1.52
194.95	83.40	0.54	0.19	0.31	25.00	0.00	137.57	1.33	-0.31
740.53	83.56	0.43	0.19	0.02	25.00	0.00	417.01	6.46	-2.03
938.54	83.57	0.41	-0.66	-0.40	25.00	0.00	128.23	1.73	-0.60
144.57	84.78	0.38	-0.48	-0.39	25.00	0.00	77.02	1.04	-0.04
415.58	85.01	0.47	0.23	0.10	25.00	0.00	231.21	3.33	-1.31
436.86	85.17	0.43	0.75	-0.22	25.00	0.00	82.83	1.30	-0.28
874.05	84.69	0.43	0.52	0.10	25.00	0.00	65.46	1.16	-0.16
80.36	86.29	0.49	0.36	0.28	25.00	0.00	114.67	1.38	-0.35
131.47	85.85	0.35	0.13	0.09	25.00	0.00	150.04	1.83	-0.65
464.74	85.49	0.41	0.34	0.13	25.00	0.00	68.81	1.09	-0.10
765.99	86.45	0.34	-0.41	0.41	25.00	0.00	85.57	1.60	-0.51
947.55	85.94	0.37	-0.51	-0.28	25.00	0.00	61.68	1.11	-0.11
39.66	87.74	0.37	0.66	0.46	25.00	0.00	125.11	1.55	-0.47
106.39	87.41	0.44	0.52	0.34	25.00	0.00	101.50	1.13	-0.14
663.63	87.82	0.52	0.38	0.02	25.00	0.00	157.57	2.37	-0.94
69.84	89.53	0.39	-0.26	-0.24	25.00	0.00	124.84	1.67	-0.56
213.98	88.98	0.40	0.23	0.01	25.00	0.00	2363.37	33.60	-3.82
309.98	88.79	0.43	0.08	-0.01	25.00	0.00	185.52	2.48	-0.99
955.61	88.51	0.40	-0.28	-0.17	25.00	0.00	138.82	2.19	-0.85
471.60	89.90	0.43	0.17	-0.02	25.00	0.00	166.32	2.76	-1.10
737.21	89.79	0.43	0.36	0.18	25.00	0.00	99.14	1.66	-0.55
141.21	90.61	0.48	0.48	-0.24	25.00	0.00	131.66	1.68	-0.56
264.51	91.71	0.39	0.89	0.26	25.00	0.00	164.07	2.23	-0.87
562.19	90.10	0.32	-0.32	0.21	25.00	0.00	54.13	1.16	-0.17
797.01	90.59	0.43	-0.08	0.10	25.00	0.00	860.53	13.44	-2.82
13.73	92.08	0.37	-0.11	0.01	25.00	0.00	117.39	1.64	-0.54
350.75	92.37	0.34	0.18	-0.11	25.00	0.00	129.08	2.09	-0.80
1016.44	92.02	0.45	-0.18	-0.16	25.00	0.00	1130.20	16.28	-3.03
100.01	93.06	0.37	0.10	0.29	25.00	0.00	168.09	2.11	-0.81
328.19	92.84	0.39	-0.70	-0.35	25.00	0.00	120.20	1.75	-0.61
493.82	92.11	0.47	0.15	-0.15	25.00	0.00	88.62	1.38	-0.35
233.13	93.30	0.41	-0.12	-0.06	25.00	0.00	1221.82	16.04	-3.01
266.43	93.31	0.46	0.70	0.08	25.00	0.00	138.79	1.92	-0.71
571.72	94.23	0.40	0.22	0.13	25.00	0.00	1502.93	24.12	-3.46
706.10	93.58	0.42	0.03	0.14	25.00	0.00	584.38	9.12	-2.40
758.94	93.95	0.40	0.21	0.25	25.00	0.00	177.05	2.94	-1.17
958.69	94.86	0.27	-0.16	-0.12	25.00	0.00	88.85	1.25	-0.24
955.34	95.44	0.43	-0.01	0.13	25.00	0.00	170.87	2.54	-1.01
586.00	96.38	0.39	0.45	0.18	25.00	0.00	34203.19	548.44	-6.85
348.61	96.41	0.54	0.37	0.01	25.00	0.00	148.67	1.94	-0.72
308.06	98.18	0.41	0.22	-0.13	25.00	0.00	177.11	2.33	-0.92
728.91	97.68	0.45	-0.09	0.02	25.00	0.00	185.42	3.02	-1.20
793.47	97.99	0.47	-0.23	0.13	25.00	0.00	83.01	1.36	-0.34
990.26	98.19	0.40	-0.28	-0.06	25.00	0.00	499.77	7.57	-2.20
559.46	99.17	0.39	0.09	0.13	25.00	0.00	461.32	6.67	-2.06
